Adult_mortality,Under_five_deaths,Alcohol_consumption,GDP_per_capita,Population_mln,Region_Central America and Caribbean,Economy_status_Developed,Region_South America,BMI,Year,Incidents_HIV,Region_European Union,Region_Oceania,Hepatitis_B,Region_Middle East,Region_Asia,Schooling
114.2395,8.3,8.25,29268.875,56.0725,0,1,0,27.7,2001,0.13,0,0,89,0,0,12.7
220.1275,33.2,2.65,2993.0,5.89,1,0,0,26.0,2000,0.41,0,0,99,0,0,5.2
395.016,93.9,5.74,692.0,38.45,0,0,0,22.5,2005,1.03,0,0,90,0,0,4.8
164.433,31.6,4.49,3816.0,5.63,0,0,1,25.3,2003,0.17,0,0,86,0,0,7.0
218.4575,59.0,0.86,467.0,24.23,0,0,0,21.3,2015,0.24,0,0,69,0,0,6.1
152.9405,52.3,0.45,1763.0,28.79,0,0,0,24.6,2000,0.06,0,0,51,0,0,3.4
132.268,19.8,5.23,5178.0,29.03,0,0,1,26.0,2010,0.15,0,0,93,0,0,8.4
420.308,99.6,10.97,655.0,28.57,0,0,0,21.6,2006,1.03,0,0,64,0,0,4.6
322.4755,102.8,0.29,335.0,56.0725,0,0,0,20.2,2006,0.58,0,0,52,0,0,2.0
137.2305,44.4,0.0,1078.0,56.0725,0,0,0,21.3,2012,0.01,0,0,94,0,1,5.1
164.1365,61.5,0.1,1186.0,1.09,0,0,0,20.7,2010,0.08,0,1,72,0,0,4.4
218.9925,88.1,0.98,781.0,56.0725,0,0,0,20.7,2001,0.27,0,0,67,0,1,4.5
118.7115,15.7,7.43,16369.0,0.28,1,0,0,26.8,2004,0.57,0,0,93,0,0,9.2
308.303,134.3,0.0,386.0,13.8,0,0,0,23.1,2015,0.13,0,0,51,0,0,2.1
99.7905,5.3,11.01,11780.0,4.28,0,1,0,26.8,2011,0.02,1,0,97,0,0,11.0
100.353,6.7,4.83,4216.0,3.6,0,0,0,25.5,2012,0.08,0,0,92,0,0,8.3
106.8025,9.3,6.15,15609.0,3.4,0,0,1,27.1,2014,0.24,0,0,95,0,0,8.6
102.159,20.2,1.17,3691.0,10.3,0,0,0,25.7,2007,0.04,0,0,98,0,0,6.1
109.6325,7.2,12.77,18795.0,10.29,0,1,0,25.5,2000,0.22,1,0,58,0,0,6.8
79.786,3.4,12.31,29268.875,0.47,0,1,0,25.9,2005,0.08,1,0,95,0,0,11.3
91.2495,5.1,12.25,29268.875,56.0725,0,1,0,25.9,2002,0.08,1,0,87,0,0,12.1
129.6915,30.3,0.52,5426.0,9.42,0,0,0,26.7,2013,0.06,0,0,93,0,1,10.8
71.6035,3.0,11.99,29268.875,0.49,0,1,0,26.0,2008,0.09,1,0,94,0,0,11.7
176.8515,15.2,9.77,6809.0,0.1,1,0,0,25.4,2001,0.4,0,0,96,0,0,7.4
136.3935,21.9,9.23,10094.0,0.18,1,0,0,29.8,2015,0.4,0,0,99,0,0,8.9
217.1505,65.5,0.51,1537.0,0.09,0,0,0,28.9,2002,0.17,0,1,79,0,0,7.0
136.0795,9.5,7.24,13525.0,0.09,1,0,0,26.2,2011,0.1,0,0,99,0,0,9.2
61.3625,4.2,8.37,29268.875,56.0725,0,1,0,25.7,2007,0.08,1,0,97,0,0,9.4
220.828,39.7,5.73,4443.0,0.75,0,0,1,25.4,2007,0.74,0,0,94,0,0,8.0
117.679,19.2,4.05,8879.0,56.0725,0,0,0,27.5,2010,0.16,0,0,93,0,0,8.0
170.6395,25.1,4.52,3962.0,39.63,0,0,1,24.8,2000,0.26,0,0,78,0,0,6.5
171.3545,37.5,0.14,2759.0,56.0725,0,0,0,28.1,2004,0.13,0,0,97,0,0,5.4
225.2175,12.6,7.44,7849.0,2.31,0,1,0,25.7,2002,0.19,1,0,98,0,0,10.6
229.028,53.8,0.81,2305.0,7.79,0,0,0,25.3,2013,0.39,0,1,73,0,0,4.3
289.566,140.2,0.58,707.0,14.11,0,0,0,22.4,2008,0.62,0,0,74,0,0,1.9
239.1545,8.0,12.61,4294.0,9.6,0,0,0,26.1,2006,0.17,0,0,98,0,0,10.0
235.0695,58.8,0.06,2722.0,23.15,0,0,0,23.3,2010,0.03,0,0,76,1,0,2.6
106.982,31.5,2.88,2558.0,56.0725,0,0,0,22.5,2002,0.1,0,0,70,0,1,6.6
224.423,62.4,0.76,641.0,56.0725,0,0,0,20.5,2015,0.19,0,0,77,0,0,2.6
179.4475,23.2,5.93,17700.0,1.32,1,0,0,26.9,2009,0.4,0,0,90,0,0,10.7
88.7525,3.1,12.54,16594.0,10.51,0,1,0,27.0,2013,0.08,1,0,99,0,0,12.6
200.807,21.4,2.59,3364.0,6.13,1,0,0,26.9,2008,0.25,0,0,98,0,0,6.4
279.156,128.7,6.12,2962.0,22.51,0,0,0,22.7,2009,1.03,0,0,61,0,0,4.7
328.32,47.9,2.59,4782.0,2.27,0,0,0,24.1,2014,1.03,0,0,88,0,0,6.7
118.88,15.1,5.88,9464.0,3.32,0,0,1,26.2,2004,0.18,0,0,94,0,0,8.0
443.15,62.4,7.28,3630.0,1.1,0,0,0,26.7,2014,1.03,0,0,98,0,0,6.5
160.237,5.0,10.8,13786.0,1.98,0,1,0,26.6,2015,0.29,1,0,94,0,0,12.8
212.388,66.3,0.88,826.0,50.25,0,0,0,22.0,2009,0.36,0,0,91,0,1,4.0
207.3365,61.9,6.33,1795.0,6.44,0,0,0,22.4,2012,0.16,0,0,79,0,1,5.0
94.189,3.6,10.94,22297.0,2.02,0,1,0,25.9,2008,0.03,1,0,88,0,0,11.9
456.61306250000007,98.5,1.51,1146.0,31.96,0,0,0,22.0,2000,1.03,0,0,77,0,0,5.3
235.697,69.7,2.89,2288.0,4.52,0,0,0,24.7,2000,0.08,0,0,96,0,1,9.9
181.1225,31.2,0.08,2981.0,56.0725,0,0,0,22.7,2012,0.2,0,0,83,0,1,7.6
345.9945,79.6,4.96,765.0,41.85,0,0,0,22.7,2008,1.03,0,0,86,0,0,5.0
219.8665,56.2,2.8,2186.0,9.23,0,0,1,25.3,2005,0.19,0,0,85,0,0,7.0
176.668,16.7,9.82,29268.875,0.33,1,0,0,27.2,2006,0.59,0,0,96,0,0,10.9
114.701,17.0,6.84,13630.0,3.97,1,0,0,26.8,2015,0.4,0,0,73,0,0,9.9
208.0,90.5,0.0,1454.0,3.71,0,0,0,24.7,2012,0.17,0,0,80,0,0,4.0
219.9305,71.8,0.75,682.0,49.62,0,0,0,21.8,2007,0.42,0,0,85,0,1,3.8
120.157,6.8,10.27,14890.0,5.4,0,1,0,26.1,2011,0.01,1,0,99,0,0,12.1
244.6325,54.6,1.75,1774.0,27.85,0,0,0,23.9,2015,0.84,0,0,88,0,0,6.9
97.1345,4.1,9.25,29268.875,5.2,0,1,0,25.8,2002,0.08,1,0,88,0,0,9.5
78.037,6.7,9.17,29268.875,4.09,0,1,0,27.1,2004,0.03,0,1,88,0,0,11.6
267.262,121.9,0.11,443.0,16.46,0,0,0,21.5,2010,0.08,0,0,70,0,0,1.4
271.3425,13.4,8.12,2528.0,46.51,0,0,0,26.1,2007,0.33,0,0,92,0,0,11.2
132.7085,24.7,0.017,4959.0,56.0725,0,0,0,25.5,2006,0.15,0,0,98,1,0,9.1
122.5085,43.7,0.47,2066.0,30.12,0,0,0,24.9,2004,0.06,0,0,95,0,0,3.8
323.509,150.4875,0.6,641.0,11.27,0,0,0,21.6,2001,0.99,0,0,78,0,0,1.3
72.193,2.6,8.76,29268.875,5.46,0,1,0,25.9,2014,0.08,1,0,88,0,0,12.4
185.0715,102.4,0.014,1040.0,56.0725,0,0,0,22.7,2002,0.13,0,0,64,0,1,3.8
186.6,37.7,2.52,993.0,14.78,0,0,0,21.8,2012,0.12,0,0,86,0,1,4.5
138.1465,12.9,10.24,4529.0,0.61,0,0,0,25.4,2002,0.02,0,0,91,0,0,10.3
193.695,27.9,4.81,10669.0,1.27,1,0,0,25.9,2000,0.4,0,0,83,0,0,9.2
87.1205,33.0,0.53,2473.0,31.93,0,0,0,25.3,2009,0.05,0,0,98,0,0,4.2
106.5445,4.1,13.58,15949.0,10.24,0,1,0,26.7,2006,0.08,1,0,98,0,0,12.1
69.2825,2.7,10.92,20454.0,2.06,0,1,0,26.4,2014,0.01,1,0,88,0,0,11.9
122.8625,15.5,7.59,15905.0,0.27,1,0,0,26.6,2002,0.6,0,0,66,0,0,9.1
329.306,150.4875,2.41,2168.0,18.76,0,0,0,22.2,2004,1.03,0,0,67,0,0,4.4
162.2605,76.5,0.003,687.0,56.0725,0,0,0,20.4,2002,0.01,0,0,75,0,1,4.3
221.7345,37.5,6.78,837.0,5.22,0,0,0,25.4,2006,0.13,0,0,90,0,1,10.2
119.573,5.2,10.8,11656.0,38.04,0,1,0,26.4,2013,0.08,1,0,96,0,0,12.1
456.61306250000007,150.4875,1.67,470.0,3.72,0,0,0,21.6,2001,1.03,0,0,51,0,0,2.9
149.064,30.6,2.91,1290.0,3.07,0,0,0,25.7,2000,0.08,0,0,55,0,0,10.8
168.994,27.3,3.77,1675.0,5.59,1,0,0,26.5,2007,0.13,0,0,93,0,0,5.7
123.906,15.4,3.69,6124.0,16.21,0,0,1,27.1,2015,0.16,0,0,78,0,0,8.4
120.787,15.7,7.51,16197.0,0.27,1,0,0,26.7,2003,0.58,0,0,91,0,0,9.1
122.485,21.3,2.05,2750.0,20.12,0,0,0,22.4,2009,0.02,0,0,97,0,1,10.9
65.745,5.1,2.46,29268.875,7.18,0,1,0,26.7,2007,0.08,0,0,99,1,0,12.5
135.8385,27.8,5.4,2922.0,0.48,0,0,0,24.0,2007,0.27,0,0,96,0,0,4.6
147.545,29.0,0.83,2893.0,0.23,0,0,0,25.9,2009,0.17,0,1,62,0,0,6.6
141.9155,26.5,4.65,3868.0,27.87,0,0,1,25.5,2005,0.2,0,0,94,0,0,8.7
124.07,15.7,5.68,6229.0,30.47,0,0,1,26.5,2015,0.13,0,0,90,0,0,9.1
347.234,150.4875,0.0,202.0,9.82,0,0,0,22.3,2003,0.13,0,0,51,0,0,2.1
205.0555,85.1,0.0,1489.0,3.93,0,0,0,24.8,2014,0.14,0,0,84,0,0,4.3
179.2695,30.0,0.09,3104.0,56.0725,0,0,0,22.8,2013,0.18,0,0,85,0,1,7.8
225.0725,24.4,6.65,3028.0,2.77,0,0,0,25.6,2011,0.02,0,0,99,0,1,9.8
238.655,28.6,6.34,1423.0,2.92,0,0,0,26.0,2001,0.25,0,0,94,0,0,9.3
78.916,4.1,6.14,29268.875,0.28,0,1,0,25.5,2000,0.02,0,0,88,0,0,9.4
156.3825,19.8,6.39,3273.0,25.55,0,0,1,26.4,2003,0.4,0,0,72,0,0,7.0
50.5745,2.6,6.84,29268.875,0.32,0,1,0,26.1,2011,0.05,0,0,88,0,0,11.0
160.15,14.3,9.22,29268.875,0.37,1,0,0,27.8,2014,0.34,0,0,96,0,0,11.1
321.3015,98.6,1.33,781.0,0.73,0,0,0,23.6,2001,1.03,0,0,88,0,0,3.3
197.9155,64.6,1.92,1093.0,56.0725,0,0,0,21.2,2008,0.12,0,0,51,0,1,5.2
128.8585,22.4,2.57,2217.0,56.0725,0,0,0,21.3,2012,0.14,0,0,97,0,1,7.8
91.6715,4.6,12.88,29268.875,56.0725,0,1,0,25.0,2005,0.11,1,0,51,0,0,10.4
122.173,14.5,0.53,20702.0,2.33,0,0,0,25.5,2002,0.05,0,0,99,1,0,5.9
162.7035,19.7,4.16,3590.0,0.18,0,0,0,30.8,2003,0.17,0,1,83,0,0,9.2
155.062,51.9,0.56,662.0,6.92,0,0,0,24.7,2006,0.07,0,0,88,0,1,10.5
73.007,3.4,2.16,29268.875,4.18,0,0,0,23.5,2002,0.15,0,0,95,0,1,9.5
144.3625,15.9,6.63,8814.0,56.0725,0,0,1,26.5,2015,0.24,0,0,96,0,0,7.6
139.5745,8.2,11.06,11426.0,5.37,0,1,0,25.7,2005,0.01,1,0,99,0,0,10.8
139.302,6.7,10.8,10157.0,38.13,0,1,0,26.0,2008,0.08,1,0,98,0,0,11.9
142.157,18.5,3.24,4987.0,2.8,1,0,0,26.8,2009,0.62,0,0,90,0,0,8.8
410.124,150.4875,0.46,465.0,9.37,0,0,0,21.2,2003,1.03,0,0,51,0,0,1.4
65.6915,4.6,9.12,29268.875,16.53,0,1,0,25.5,2009,0.06,1,0,88,0,0,11.9
163.946,64.3,0.55,1754.0,8.17,0,0,0,25.7,2002,0.18,0,0,51,0,1,10.6
182.5815,37.4,6.53,4256.0,8.85,1,0,0,25.2,2003,0.85,0,0,79,0,0,6.8
157.823,27.5,0.19,3473.0,56.0725,0,0,0,28.9,2011,0.13,0,0,96,0,0,6.7
300.397,89.0,1.26,483.0,6.42,0,0,0,23.1,2010,1.03,0,0,83,0,0,4.3
134.0135,20.8,5.04,4819.0,28.79,0,0,1,25.9,2009,0.16,0,0,93,0,0,8.4
144.6035,17.6,6.84,12458.0,29.78,0,0,1,26.6,2013,0.4,0,0,82,0,0,9.9
162.571,30.8,5.17,3903.0,5.73,0,0,1,25.4,2004,0.18,0,0,90,0,0,7.1
132.4335,18.8,0.011,13794.0,6.06,0,0,0,27.4,2008,0.09,0,0,98,0,0,7.0
168.977,31.5,2.74,1775.0,3.98,0,0,0,26.0,2002,0.03,0,0,51,0,0,11.9
192.682,41.9,3.18,5679.0,5.37,0,0,0,26.2,2013,0.08,0,0,98,0,1,9.8
331.213,147.1,7.12,8004.0,0.66,0,0,0,22.8,2002,1.03,0,0,51,0,0,5.4
67.5915,2.9,1.49,29268.875,4.27,0,0,0,23.5,2005,0.14,0,0,96,0,1,10.5
94.1855,4.4,11.81,19501.0,10.52,0,1,0,25.8,2006,0.18,1,0,97,0,0,7.6
97.3465,18.5,4.27,4712.0,56.0725,0,0,0,23.0,2008,0.1,0,0,95,0,1,7.0
127.5385,36.5,0.33,3490.0,32.26,0,0,0,24.5,2003,0.01,0,0,81,0,0,6.5
171.2775,15.8,6.76,2732.0,2.83,0,0,0,27.0,2015,0.36,0,0,88,0,0,11.6
197.392,22.0,5.81,3518.0,56.0725,0,0,0,22.9,2000,0.66,0,0,95,0,1,6.1
167.804,15.6,9.21,29268.875,0.35,1,0,0,27.5,2010,0.49,0,0,98,0,0,10.9
151.67,11.8,10.66,6045.0,7.55,0,1,0,25.8,2007,0.02,1,0,95,0,0,10.5
331.999,106.3,1.61,504.0,5.47,0,0,0,22.5,2004,1.03,0,0,81,0,0,4.2
62.447,3.8,10.88,29268.875,4.66,0,1,0,27.3,2014,0.07,1,0,95,0,0,12.3
456.61306250000007,76.1,5.63,4817.0,1.73,0,0,0,23.8,2003,1.03,0,0,90,0,0,8.0
82.092,7.2,8.69,29268.875,3.88,0,1,0,26.8,2001,0.02,0,1,90,0,0,11.6
190.037,27.4,5.25,11901.0,1.28,1,0,0,26.1,2002,0.4,0,0,88,0,0,9.4
216.0405,52.9,3.13,2251.0,9.4,0,0,1,25.4,2006,0.19,0,0,83,0,0,7.3
206.6325,55.4,1.29,825.0,13.68,0,0,0,21.3,2007,0.25,0,0,82,0,1,3.7
207.2785,64.4,0.49,1366.0,0.1,0,0,0,29.6,2010,0.17,0,1,91,0,0,7.9
359.557,105.8,5.9,1255.0,20.91,0,0,0,24.0,2011,1.03,0,0,82,0,0,5.5
86.635,4.4,12.53,29268.875,56.0725,0,1,0,25.0,2008,0.11,1,0,51,0,0,10.7
456.61306250000007,150.4875,3.75,403.0,4.58,0,0,0,22.0,2000,1.03,0,0,71,0,0,2.3
176.802,21.2,3.0,3059.0,0.17,0,0,0,30.5,2000,0.17,0,1,89,0,0,8.8
130.945,7.8,9.78,5148.0,7.32,0,0,0,25.7,2009,0.02,0,0,93,0,0,10.4
53.441,2.7,6.79,29268.875,0.32,0,1,0,26.0,2010,0.05,0,0,88,0,0,10.6
131.6005,18.1,3.99,5655.0,15.24,0,0,1,26.6,2011,0.16,0,0,88,0,0,8.0
171.224,20.6,5.85,18441.0,1.35,1,0,0,27.3,2013,0.4,0,0,92,0,0,10.8
218.489,22.3,2.35,4174.0,0.81,0,0,0,26.4,2001,0.03,0,1,98,0,0,9.5
79.9905,5.2,8.91,21105.0,10.93,0,1,0,26.8,2003,0.04,1,0,92,0,0,9.3
217.0295,68.3,6.1,1586.0,6.25,0,0,0,22.2,2010,0.17,0,0,74,0,1,4.6
190.4555,28.9,1.01,1871.0,0.48,0,0,0,25.4,2006,0.17,0,1,99,0,0,4.9
223.692,59.6,2.61,2131.0,9.07,0,0,1,25.2,2004,0.2,0,0,84,0,0,7.1
207.4435,45.5,2.12,3795.0,4.94,0,0,0,25.6,2008,0.08,0,0,96,0,1,9.9
165.474,19.4,11.77,5981.0,21.45,0,1,0,25.3,2004,0.05,1,0,99,0,0,9.9
175.9835,23.6,4.36,2330.0,3.9,0,0,0,26.3,2005,0.07,0,0,79,0,0,12.1
183.917,8.4,13.24,10260.0,10.13,0,1,0,26.2,2003,0.08,1,0,88,0,0,10.5
105.2965,3.9,13.83,16739.0,10.3,0,1,0,26.7,2007,0.08,1,0,99,0,0,12.2
250.7575,54.9,7.57,7305.0,1.82,0,0,0,25.0,2013,1.03,0,0,79,0,0,8.1
107.0105,7.5,8.67,29268.875,56.0725,0,1,0,28.4,2009,0.13,0,0,92,0,0,13.2
401.3725,150.4875,0.49,657.0,10.46,0,0,0,21.4,2006,0.91,0,0,51,0,0,1.6
133.3605,26.3,4.93,3011.0,0.49,0,0,0,24.2,2010,0.26,0,0,98,0,0,5.1
160.565,21.6,8.09,4842.0,24.19,0,0,1,26.2,2000,0.4,0,0,51,0,0,6.4
137.2965,8.1,9.42,4968.0,7.38,0,0,0,25.6,2007,0.02,0,0,99,0,0,10.2
160.709,30.0,5.51,3923.0,5.82,0,0,1,25.5,2005,0.17,0,0,92,0,0,7.3
86.3185,4.9,11.83,29268.875,56.0725,0,1,0,26.0,2004,0.08,1,0,88,0,0,12.9
124.359,23.9,5.0,8801.0,56.0725,0,0,0,27.1,2004,0.15,0,0,98,0,0,7.4
112.89,36.7,3.01,2194.0,56.0725,0,0,0,22.4,2000,0.1,0,0,60,0,1,6.5
116.691,6.6,7.19,5463.0,7.13,0,0,0,26.0,2014,0.02,0,0,92,0,0,10.7
256.0445,94.8,3.43,1061.0,5.58,0,0,0,21.4,2003,0.15,0,0,51,0,1,4.1
85.484,11.8,0.012,29268.875,2.16,0,0,0,28.5,2003,0.13,0,0,99,1,0,6.1
165.1785,23.5,4.32,4003.0,40.88,0,0,1,25.0,2002,0.23,0,0,78,0,0,6.5
206.0165,23.8,2.67,3262.0,6.08,1,0,0,26.7,2006,0.28,0,0,96,0,0,6.4
184.704,20.6,6.28,4898.0,0.29,1,0,0,28.0,2006,1.03,0,0,98,0,0,10.3
169.5265,74.4,0.66,1481.0,8.05,0,0,0,25.6,2000,0.12,0,0,51,0,1,10.6
270.9885,29.0,6.76,7838.0,15.31,0,0,0,25.8,2006,0.08,0,0,99,0,1,11.7
132.423,23.2,1.97,1913.0,56.0725,0,0,0,20.9,2009,0.18,0,0,94,0,1,8.0
81.98,6.1,9.82,29268.875,16.05,0,1,0,25.1,2001,0.06,1,0,88,0,0,11.0
148.2515,15.3,7.68,8077.0,0.11,1,0,0,26.5,2011,0.4,0,0,94,0,0,8.4
222.887,55.2,2.58,2492.0,4.7,0,0,0,25.1,2004,0.08,0,0,96,0,1,9.9
97.2905,5.4,11.53,29268.875,5.39,0,1,0,25.1,2003,0.04,1,0,88,0,0,12.8
111.0235,7.9,8.63,29268.875,56.0725,0,1,0,28.2,2006,0.13,0,0,93,0,0,12.8
121.234,9.9,3.87,2848.0,3.75,0,0,0,24.8,2000,0.08,0,0,92,0,0,7.0
166.4095,31.7,0.16,4794.0,33.16,0,0,0,28.4,2013,0.13,0,0,66,1,0,6.6
142.4175,10.8,9.82,6428.0,7.4,0,1,0,26.0,2010,0.03,1,0,95,0,0,10.6
191.3535,45.5,0.05,2035.0,56.0725,0,0,0,21.9,2003,0.19,0,0,64,0,1,7.2
174.899,43.9,0.13,2652.0,56.0725,0,0,0,27.8,2001,0.13,0,0,99,0,0,4.9
242.16,99.1,0.36,1115.0,10.81,0,0,0,22.4,2004,0.55,0,0,89,0,0,2.4
194.0975,7.8,15.52,13283.0,1.36,0,1,0,25.8,2004,0.08,1,0,90,0,0,12.0
73.7325,4.0,7.48,19401.0,11.1,0,1,0,27.1,2011,0.1,1,0,95,0,0,10.3
115.04,7.0,12.42,10943.0,4.3,0,1,0,26.0,2004,0.02,1,0,96,0,0,9.7
456.61306250000007,115.8,6.7,2477.0,1.01,0,0,0,25.6,2001,1.03,0,0,86,0,0,3.7
125.149,19.5,4.54,3043.0,0.52,0,0,0,24.5,2015,0.26,0,0,96,0,0,5.9
95.22,11.2,4.19,9110.0,4.35,1,0,0,26.4,2006,0.16,0,0,88,0,0,7.9
306.9055,129.6,4.2,554.0,3.22,0,0,0,23.4,2005,1.03,0,0,58,0,0,3.8
157.5085,28.4,1.0,2776.0,0.21,0,0,0,25.8,2006,0.17,0,1,59,0,0,6.5
211.067,26.6,2.78,3072.0,6.02,1,0,0,26.5,2004,0.32,0,0,90,0,0,5.8
330.64,103.1,1.84,468.0,5.61,0,0,0,22.6,2005,1.03,0,0,81,0,0,4.2
406.9915,150.4875,0.3,375.0,8.36,0,0,0,20.9,2000,1.03,0,0,51,0,0,1.4
213.586,64.7,0.61,1531.0,0.09,0,0,0,29.2,2005,0.17,0,1,51,0,0,7.3
55.7385,6.7,6.99,20558.0,0.41,0,1,0,27.1,2010,0.08,1,0,75,0,0,10.3
220.149,38.0,0.32,2479.0,0.7,0,0,0,23.5,2012,0.14,0,0,97,0,1,2.5
91.9455,9.5,0.65,29268.875,0.38,0,0,0,26.2,2008,0.1,0,0,96,0,1,8.7
198.056,46.2,2.34,3251.0,12.42,1,0,0,25.3,2003,0.33,0,0,87,0,0,3.7
397.18,150.4875,11.24,1948.0,56.0725,0,0,0,22.7,2005,1.03,0,0,51,0,0,5.2
325.874,139.5,0.34,655.0,8.93,0,0,0,22.1,2004,1.03,0,0,57,0,0,1.6
61.931,4.7,2.67,29268.875,7.49,0,1,0,26.9,2009,0.08,0,0,98,1,0,12.6
280.9365,121.5,5.44,582.0,15.61,0,0,0,21.8,2010,0.31,0,0,91,0,0,1.4
103.109,5.7,11.11,11871.0,4.31,0,1,0,26.6,2009,0.02,1,0,97,0,0,10.6
77.0035,6.6,9.32,29268.875,4.13,0,1,0,27.2,2005,0.03,0,1,87,0,0,11.7
425.1035,128.2,1.88,364.0,4.46,0,0,0,22.7,2014,1.03,0,0,51,0,0,4.1
297.835,126.7,2.91,381.0,56.0725,0,0,0,21.3,2007,0.68,0,0,70,0,0,4.8
154.1315,14.2,10.7,4850.0,7.72,0,1,0,25.5,2004,0.02,1,0,94,0,0,10.1
213.299,81.1,1.17,845.0,56.0725,0,0,0,20.9,2003,0.19,0,0,67,0,1,4.7
69.0295,5.7,8.4,29268.875,34.0,0,1,0,26.8,2010,0.1,0,0,56,0,0,12.6
109.8335,27.9,1.18,2965.0,9.79,0,0,0,25.2,2001,0.01,0,0,94,0,0,5.1
101.6475,16.5,0.054,18683.0,23.82,0,0,0,27.8,2005,0.13,0,0,97,1,0,7.6
456.61306250000007,150.4875,1.7,467.0,4.12,0,0,0,22.1,2006,1.03,0,0,51,0,0,3.3
276.665,85.2,3.44,1325.0,9.5,1,0,0,24.2,2007,0.98,0,0,60,0,0,4.5
63.881,4.3,8.95,29268.875,16.69,0,1,0,25.5,2011,0.06,1,0,88,0,0,12.0
251.422,90.3,0.08,2404.0,17.92,0,0,0,22.4,2001,0.02,0,0,51,1,0,1.3
163.0145,35.0,5.23,6547.0,10.17,1,0,0,26.3,2014,0.4,0,0,89,0,0,7.8
68.0,5.7,8.98,29268.875,4.52,0,1,0,27.9,2014,0.03,0,1,93,0,0,12.2
